id,year,M,W,total,group,supply
64869,2067,3,0,3,D,29.44066615303929
44969,2068,21,2,23,A,28.98077517114407
63616,2068,4,5,9,I,28.81215571671632
46206,2067,10,2,12,A,29.14851065010013
17022,2068,4,6,10,E,28.857358472651093
51152,2067,3,2,5,P,28.95944835928218
103728,2067,5,0,5,Q,28.98387341789997
172811,2067,3,4,7,E,29.09743485678055
82529,2068,3,1,4,E,29.09333632133024
40851,2068,1,1,2,D,28.78720017145278
157354,2068,5,3,8,N,28.79779125149594
73033,2067,4,3,7,N,28.60312152985697
65878,2068,5,2,7,E,28.60602651228076
63165,2067,5,1,6,J,29.09210190505094
59742,2067,5,3,8,D,29.419532747280623
24144,2068,3,0,3,P,28.7815545700846
96707,2068,4,0,4,E,28.693016079950592
166805,2067,5,1,6,E,29.318631693018624
59471,2067,7,1,8,N,29.109269808457597
93434,2068,6,1,7,J,28.6419273222376
58914,2067,5,1,6,E,29.234902685348118
30511,2067,5,2,7,D,28.89814921325165
104545,2068,3,1,4,J,28.679301957251592
26111,2068,10,3,13,N,28.92648028941491
135981,2068,3,0,3,S,28.88526052424255
23581,2068,4,2,6,D,28.986389582618934
114335,2067,11,2,13,Q,29.31506820289465
166974,2068,6,1,7,Q,28.89833525871698
160217,2067,12,0,12,R,29.1647236597297
109148,2068,2,2,4,J,28.584526064619595
41918,2067,4,2,6,G,29.042009234102576
124759,2067,3,4,7,E,29.001483095055217
41954,2068,3,1,4,K,29.282537746962745
63969,2067,2,2,4,D,29.118769871233305
134806,2068,3,3,6,N,28.92522948571011
41557,2067,3,1,4,N,29.225153694237115
92165,2067,7,1,8,J,29.530017876603345
88008,2067,3,1,4,D,28.924920418600998
110248,2068,4,0,4,E,28.89063433848908
169596,2067,2,2,4,N,29.403764584565163
45690,2067,16,1,17,A,29.19379809686236
150315,2068,3,2,5,E,28.67915909391856
158469,2068,5,3,8,M,29.103655095054343
167303,2068,4,3,7,J,29.035333532034706
57178,2068,2,3,5,Q,28.53897361451208
181856,2067,7,3,10,P,29.42575125977591
19445,2067,5,1,6,N,29.251334671504235
47623,2068,2,3,5,D,28.852899839719225
83426,2067,4,0,4,E,29.33181275076468
25530,2068,5,2,7,D,29.10675821200623
160656,2067,2,0,2,N,29.338010410607403
132401,2068,4,2,6,F,29.05809327742159
132289,2068,6,1,7,J,28.483934770388014
141298,2068,5,5,10,N,28.947280923577143
72465,2068,2,3,5,J,29.136391199235018
93443,2068,15,7,22,J,28.77983413739972
84697,2067,7,0,7,H,29.228657948634368
72306,2067,5,1,6,Q,29.32249068161229
91734,2067,3,2,5,D,29.20487192500888
22480,2067,4,2,6,M,29.46817693919207
25121,2068,4,2,6,D,28.935186408300652
128446,2068,7,1,8,K,28.13862014882211
63866,2067,6,1,7,E,28.874840884393898
55521,2067,3,3,6,P,29.353004737970323
54511,2068,3,0,3,P,28.66776746266534
125126,2068,1,2,3,P,28.963799158596757
140506,2067,6,2,8,K,29.04098766105764
121578,2067,2,1,3,J,29.316689102252507
136583,2068,2,2,4,D,29.182464310141597
71724,2067,4,0,4,D,29.012677647071364
108633,2068,6,1,7,J,28.44474786676684
49479,2067,2,4,6,E,28.908375676015083
109078,2067,3,0,3,P,29.014417929493533
121331,2068,7,1,8,J,28.81282913351185
94490,2068,6,1,7,E,28.907694305426705
164450,2067,2,0,2,M,28.993526938700715
39580,2068,2,2,4,G,28.556356516264348
100381,2068,4,2,6,N,28.57882310468558
147077,2068,6,2,8,K,28.77646750706699
145323,2068,5,0,5,M,28.857060134689608
94774,2068,4,2,6,Q,29.254096682374577
83713,2068,6,2,8,M,28.99626877539772
93670,2067,7,0,7,M,29.35687523779296
135486,2067,3,2,5,E,29.371587272693738
53318,2068,7,2,9,Q,28.897027296053448
17762,2068,6,1,7,D,28.632937780629398
124242,2067,5,0,5,P,29.29459020919493
20422,2068,4,2,6,N,28.934605542680508
19262,2067,5,3,8,C,29.2022984518981
29503,2068,4,3,7,E,28.905767019307515
110009,2068,6,0,6,E,28.681009193197536
55466,2067,4,3,7,H,29.1777769394546
166606,2068,7,3,10,L,28.748804339839577
127417,2068,4,6,10,E,28.845465654001707
72826,2068,4,2,6,M,29.014269423477625
157662,2067,5,0,5,N,29.20992265247538
180764,2068,4,1,5,Q,29.28530966490027
164677,2067,4,1,5,D,29.543000800200844
51527,2067,3,2,5,L,29.327058260970176
56920,2068,8,1,9,Q,28.991598374648976
39749,2067,5,1,6,N,29.36690508489577
110596,2068,8,0,8,J,28.96600081156052
86946,2068,3,0,3,K,28.92010595819457
16635,2068,4,3,7,D,28.940317463655
99062,2067,6,0,6,J,29.29305786251343
76637,2067,2,1,3,E,29.31718591725721
174267,2068,4,2,6,J,29.02893633115509
41058,2067,6,2,8,E,29.153090516269355
41544,2067,4,2,6,P,29.011473498997205
107707,2068,1,4,5,E,29.111619393254333
91578,2068,5,1,6,J,28.641718658610447
103511,2067,1,3,4,J,29.32132860823705
40849,2067,7,1,8,E,29.348314610808263
140728,2067,7,4,11,J,28.986793415480435
177404,2067,6,0,6,K,29.02056038443316
83094,2067,1,1,2,N,28.877066704244086
78630,2068,6,1,7,J,29.17458580027478
158869,2068,3,2,5,P,28.90462837044229
133663,2068,7,2,9,M,28.86870298542956
24234,2067,3,2,5,N,28.921961596671316
142874,2067,4,0,4,M,29.340652138795395
39401,2068,3,0,3,N,28.73232668081489
53926,2068,3,2,5,N,28.46593675549009
64491,2067,6,0,6,D,29.17029887767669
84139,2067,6,4,10,I,29.19835097610257
175904,2068,3,1,4,J,29.309537227202565
172607,2067,8,0,8,N,29.410320438093255
83308,2067,5,0,5,E,29.169061182183626
97622,2068,6,1,7,P,28.783878169493743
72263,2067,3,0,3,E,29.089657677051196
159850,2068,4,1,5,E,28.951295280233595
138401,2068,6,2,8,M,28.908785686168013
76136,2067,2,1,3,K,29.411545523463136
78805,2068,4,2,6,E,28.788966073317606
95117,2067,4,2,6,N,29.2089738158931
183093,2067,7,2,9,N,29.31302108675488
60344,2067,3,3,6,K,29.092335042673568
87893,2068,2,0,2,Q,28.810798009169904
148852,2068,8,1,9,N,28.80791747153612
146582,2067,5,2,7,K,29.485236756411854
141530,2068,5,2,7,M,29.375036561095616
120091,2068,5,0,5,K,29.06816826063621
158636,2068,8,0,8,D,28.63151773823849
167277,2068,3,1,4,M,28.927543300942805
21253,2067,6,2,8,Q,29.062588063850388
39885,2067,2,1,3,Q,29.461636314875843
100045,2067,1,3,4,M,29.05006995899988
174502,2068,4,0,4,Q,28.3980553782314
41608,2068,4,0,4,Q,29.115186386933186
59688,2067,2,2,4,J,29.2149720331626
78717,2067,3,2,5,M,29.479430208562285
134932,2068,4,1,5,N,29.13050248672921
103951,2067,5,2,7,N,29.105309117870576
113558,2067,3,2,5,P,28.97988566073836
125065,2068,5,3,8,M,28.769852805603
24652,2068,12,0,12,N,29.064092401651
140479,2067,5,2,7,M,29.214484733003975
89000,2067,6,0,6,E,29.572086153351112
100938,2068,4,0,4,D,28.811573658588987
162578,2068,4,3,7,N,29.03771125855297
71709,2067,7,1,8,I,29.456150605706565
21702,2067,6,5,11,L,29.368561284834566
123309,2067,7,0,7,E,29.28990647440766
95166,2067,5,1,6,M,29.431451954985576
173242,2068,7,2,9,D,28.93667854834496
